"Latitude"	"Marginal"	"Upper"	"Lower"	"Lakeweb"	"Lakeweb_upper"	"Lakeweb_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"	"Stream"	"Stream_upper"	"Stream_lower"
"1"	0	-0.441778844018078	-0.290134574626052	-0.593423113410105	-0.263682206599837	-0.119547779150395	-0.40781663404928	-0.758479028818008	-0.513570863607034	-1.00338719402898	-0.904699396121847	-0.669584910695201	-1.13981388154849
"2"	0.452261306532663	-0.44288528349935	-0.292400856315307	-0.593369710683393	-0.264788646081109	-0.121832613019293	-0.407744679142924	-0.754878331260854	-0.509229004075088	-1.00052765844662	-0.902020987717647	-0.666189183857049	-1.13785279157824
"3"	0.904522613065327	-0.443991722980621	-0.294662860578571	-0.59332058538267	-0.26589508556238	-0.124113247736529	-0.40767692338823	-0.7512776337037	-0.504861682570986	-0.997693584836414	-0.899342579313448	-0.662775653997552	-1.13590950462934
"4"	1.35678391959799	-0.445098162461892	-0.29692048734319	-0.593275837580594	-0.267001525043651	-0.126389578105657	-0.407613471981645	-0.747676936146547	-0.500469135977403	-0.99488473631569	-0.896664170909248	-0.659344486556568	-1.13398385526193
"5"	1.80904522613065	-0.446204601943163	-0.299173633787507	-0.593235570098819	-0.268107964524922	-0.12866149579221	-0.407554433257635	-0.744076238589393	-0.49605160589679	-0.992100871281996	-0.893985762505049	-0.655895848826076	-1.13207567618402
"6"	2.26130653266332	-0.447311041424434	-0.301422194263632	-0.593199888585236	-0.269214404006193	-0.130928889225121	-0.407499918787265	-0.740475541032239	-0.491609338332594	-0.989341743731884	-0.891307354100849	-0.652429909798061	-1.13018479840364
"7"	2.71356783919598	-0.448417480905705	-0.303666060218587	-0.593168901592823	-0.270320843487464	-0.133191643495554	-0.407450043479375	-0.736874843475085	-0.487142583372415	-0.986607103577754	-0.88862894569665	-0.648946840014626	-1.12831105137867
"8"	3.16582914572864	-0.449523920386977	-0.305905120113883	-0.59314272066007	-0.271427282968736	-0.135449640253143	-0.407404925684329	-0.733274145917931	-0.482651594873855	-0.983896696962007	-0.885950537292451	-0.645446811420538	-1.12645426316436
"9"	3.61809045226131	-0.450630359868248	-0.308139259343551	-0.593121460392944	-0.272533722450007	-0.13770275759968	-0.407364687300333	-0.729673448360777	-0.47813663015378	-0.981210266567774	-0.883272128888251	-0.641929997218414	-1.12461426055809
"10"	4.07035175879397	-0.451736799349519	-0.310368360150707	-0.593105238548331	-0.273640161931278	-0.139950869980265	-0.407329453882291	-0.726072750803623	-0.473597949681677	-0.978547551925569	-0.880593720484052	-0.63839657172673	-1.12279086924137
"11"	4.52261306532663	-0.45284323883079	-0.312592301542693	-0.593094176118887	-0.274746601412549	-0.142193848071968	-0.407299354753131	-0.722472053246469	-0.469035816777729	-0.975908289715209	-0.877915312079852	-0.63484671024083	-1.12098391391887
"12"	4.9748743718593	-0.453949678312061	-0.314810959204891	-0.593088397419231	-0.27585304089382	-0.14443155867007	-0.40727452311757	-0.718871355689315	-0.464450497316189	-0.973292214062441	-0.875236903675653	-0.631280588897076	-1.11919321845423
"13"	5.42713567839196	-0.455056117793332	-0.317024205413293	-0.593088030173372	-0.276959480375091	-0.146663864571955	-0.407255096178228	-0.715270658132161	-0.459842259434593	-0.970699056829729	-0.872558495271453	-0.627698384540292	-1.11741860600262
"14"	5.87939698492462	-0.456162557274604	-0.319231908945932	-0.593093205603275	-0.278065919856363	-0.148890624458743	-0.407241215253982	-0.711669960575007	-0.455211373249303	-0.968128547900712	-0.869880086867254	-0.624100274594611	-1.1156598991399
"15"	6.33165829145729	-0.457268996755875	-0.3214339349933	-0.593104058518449	-0.279172359337634	-0.151111692774795	-0.407233025900472	-0.708069263017853	-0.450558110577818	-0.965580415457888	-0.867201678463055	-0.620486436937849	-1.11391691998826
"16"	6.78391959798995	-0.458375436237146	-0.323630145067892	-0.5931207274064	-0.280278798818905	-0.153326919605214	-0.407230678032595	-0.704468565460699	-0.445882744668259	-0.96305438625314	-0.864523270058855	-0.616857049779481	-1.11218949033823
"17"	7.23618090452261	-0.459481875718417	-0.325820396913024	-0.59314335452381	-0.281385238300176	-0.15553615055152	-0.407234326048832	-0.700867867903546	-0.441185549936357	-0.960550185870734	-0.861844861654656	-0.613212291542315	-1.110477431767
"18"	7.68844221105528	-0.460588315199688	-0.328004544411125	-0.593172085988252	-0.282491677781447	-0.157739226605676	-0.407244128957218	-0.697267170346392	-0.436466801710282	-0.958067538982501	-0.859166453250456	-0.609552340747916	-1.108780565753
"19"	8.14070351758794	-0.461694754680959	-0.330182437491667	-0.593207071870251	-0.283598117262718	-0.159935984022709	-0.407260250502728	-0.693666472789238	-0.43172677598355	-0.955606169594925	-0.856488044846257	-0.605877375905847	-1.10709871378667
"20"	8.5929648241206	-0.462801194162231	-0.332353922039	-0.593248466285461	-0.28470455674399	-0.162126254192154	-0.407282859295825	-0.690065775232084	-0.426965749176238	-0.95316580128793	-0.853809636442057	-0.602187575406753	-1.10543169747736
"21"	9.04522613065327	-0.463907633643502	-0.334518839800295	-0.593296427486709	-0.285810996225261	-0.164309863508642	-0.407312128941879	-0.68646507767493	-0.422183997904688	-0.950746157445171	-0.851131228037858	-0.598483117419324	-1.10377933865639
"22"	9.49748743718593	-0.465014073124773	-0.336677028293905	-0.593351117955641	-0.286917435706532	-0.166486633241938	-0.407348238171125	-0.682864380117776	-0.417381798759847	-0.948346961475705	-0.848452819633658	-0.594764179791151	-1.10214145947617
