"Latitude"	"Marginal"	"Upper"	"Lower"	"Stream"	"Stream_upper"	"Stream_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"
"1"	0	-0.189332780993806	-0.0288575505914528	-0.34980801139616	-0.367986145369105	-0.192201877818432	-0.543770412919777	-0.470703720403881	-0.235397430248692	-0.70601001055907
"2"	0.452261306532663	-0.191061034381126	-0.0318041417541448	-0.350317927008108	-0.369714398756424	-0.19502868871466	-0.544400108798189	-0.467106554457631	-0.230866493772869	-0.703346615142393
"3"	0.904522613065327	-0.192789287768446	-0.0347457477060981	-0.350832827830794	-0.371442652143744	-0.197849362247539	-0.54503594203995	-0.463509388511381	-0.226310233872133	-0.70070854315063
"4"	1.35678391959799	-0.194517541155766	-0.0376822527433691	-0.351352829568163	-0.373170905531064	-0.200663781820464	-0.545678029241665	-0.459912222565132	-0.221728956456236	-0.698095488674027
"5"	1.80904522613065	-0.196245794543086	-0.0406135380629974	-0.351878051023174	-0.374899158918384	-0.203471828557837	-0.546326489278932	-0.456315056618882	-0.217122970314758	-0.695507142923006
"6"	2.26130653266332	-0.197974047930406	-0.0435394816814859	-0.352408614179326	-0.376627412305704	-0.206273381276474	-0.546981443334934	-0.452717890672632	-0.212492586738532	-0.692943194606731
"7"	2.71356783919598	-0.199702301317726	-0.0464599583520048	-0.352944644283447	-0.378355665693024	-0.209068316458077	-0.547643014927971	-0.449120724726382	-0.20783811915061	-0.690403330302154
"8"	3.16582914572864	-0.201430554705046	-0.0493748394803988	-0.353486269929692	-0.380083919080344	-0.21185650822288	-0.548311329937807	-0.445523558780132	-0.203159882747338	-0.687887234812926
"9"	3.61809045226131	-0.203158808092365	-0.052283993040092	-0.354033623144639	-0.381812172467664	-0.214637828304631	-0.548986516630697	-0.441926392833882	-0.198458194150118	-0.685394591517646
"10"	4.07035175879397	-0.204887061479685	-0.0551872834859948	-0.354586839473376	-0.383540425854983	-0.21741214602702	-0.549668705682947	-0.438329226887632	-0.19373337106829	-0.682925082706975
"11"	4.52261306532663	-0.206615314867005	-0.0580845716675371	-0.355146058066473	-0.385268679242303	-0.22017932828174	-0.550358030202866	-0.434732060941382	-0.188985731973545	-0.68047838990922
"12"	4.9748743718593	-0.208343568254325	-0.0609757147409619	-0.355711421767688	-0.386996932629623	-0.222939239508315	-0.551054625750931	-0.431134894995132	-0.184215595786194	-0.67805419420407
"13"	5.42713567839196	-0.210071821641645	-0.0638605660810369	-0.356283077202253	-0.388725186016943	-0.225691741675869	-0.551758630358018	-0.427537729048882	-0.17942328157355	-0.675652176524215
"14"	5.87939698492462	-0.211800075028965	-0.0667389751923565	-0.356861174865573	-0.390453439404263	-0.228436694267019	-0.552470184541507	-0.423940563102633	-0.174609108260612	-0.673272017944653
"15"	6.33165829145729	-0.213528328416285	-0.069610787620428	-0.357445869212141	-0.392181692791583	-0.231173954264073	-0.553189431319093	-0.420343397156383	-0.169773394353215	-0.67091339995955
"16"	6.78391959798995	-0.215256581803604	-0.0724758448627576	-0.358037318744451	-0.393909946178903	-0.233903376137723	-0.553916516220082	-0.416746231210133	-0.164916457673697	-0.668576004746569
"17"	7.23618090452261	-0.216984835190924	-0.0753339842801755	-0.358635686101673	-0.395638199566223	-0.23662481183844	-0.554651587294006	-0.413149065263883	-0.160038615109137	-0.666259515418629
"18"	7.68844221105528	-0.218713088578244	-0.0781850390086628	-0.359241138147826	-0.397366452953542	-0.239338110790773	-0.555394795116312	-0.409551899317633	-0.155140182372135	-0.663963616263131
"19"	8.14070351758794	-0.220441341965564	-0.0810288378719718	-0.359853846059156	-0.399094706340862	-0.242043119890791	-0.556146292790933	-0.405954733371383	-0.150221473774072	-0.661687992968695
"20"	8.5929648241206	-0.222169595352884	-0.0838652052953567	-0.360473985410411	-0.400822959728182	-0.24473968350687	-0.556906235949494	-0.402357567425133	-0.145282802010735	-0.659432332839532
"21"	9.04522613065327	-0.223897848740204	-0.0866939612207641	-0.361101736259644	-0.402551213115502	-0.247427643484074	-0.55767478274693	-0.398760401478883	-0.140324477960185	-0.657196324997582
"22"	9.49748743718593	-0.225626102127524	-0.0895149210238646	-0.361737283231183	-0.404279466502822	-0.250106839152381	-0.558452093853263	-0.395163235532633	-0.135346810492666	-0.654979660572601
"23"	9.94974874371859	-0.227354355514844	-0.0923278954333368	-0.36238081559635	-0.406007719890142	-0.252777107338983	-0.5592383324413	-0.391566069586384	-0.130350106292353	-0.652782032880414
"24"	10.4020100502513	-0.229082608902163	-0.0951326904528562	-0.363032527351471	-0.407735973277462	-0.255438282384947	-0.560033664169977	-0.387968903640134	-0.125334669690713	-0.650603137589555
"25"	10.8542713567839	-0.230810862289483	-0.0979291072862739	-0.363692617292693	-0.409464226664782	-0.258090196166467	-0.560838257163096	-0.384371737693884	-0.12030080251119	-0.648442672876578
"26"	11.3065326633166	-0.232539115676803	-0.10071694226651	-0.364361289087097	-0.411192480052101	-0.260732678121019	-0.561652281983184	-0.380774571747634	-0.115248803924964	-0.646300339570303
"27"	11.7587939698492	-0.234267369064123	-0.103495986788727	-0.365038751339519	-0.412920733439421	-0.263365555278649	-0.562475911600194	-0.377177405801384	-0.110178970317454	-0.644175841285313
"28"	12.2110552763819	-0.235995622451443	-0.1062660272484	-0.365725217654486	-0.414648986826741	-0.265988652298718	-0.563309321354765	-0.373580239855134	-0.105091595165259	-0.642068884545009
"29"	12.6633165829146	-0.237723875838763	-0.109026844984912	-0.366420906692613	-0.416377240214061	-0.268601791512354	-0.564152688915768	-0.369983073908884	-0.0999869689232041	-0.639979178894564
