"Latitude"	"Marginal"	"Upper"	"Lower"	"Lakeweb"	"Lakeweb_upper"	"Lakeweb_lower"	"Terrestrial"	"Terr_upper"	"Terr_lower"	"Stream"	"Stream_upper"	"Stream_lower"
"1"	0	-0.390304389087629	-0.255081792413418	-0.52552698576184	-0.27528389270549	-0.147344854593213	-0.403222930817767	-0.665300616231259	-0.423189779185218	-0.9074114532773	-0.613684106742429	-0.466371913729994	-0.760996299754863
"2"	0.452261306532663	-0.391540693619411	-0.2572276813556	-0.525853705883221	-0.276520197237272	-0.14950815835747	-0.403532236117073	-0.662340104004608	-0.419701951357159	-0.904978256652056	-0.614920411274211	-0.468548971880175	-0.761291850668247
"3"	0.904522613065327	-0.392776998151192	-0.259369523280625	-0.52618447302176	-0.277756501769053	-0.15166743387015	-0.403845569667956	-0.659379591777956	-0.416187844908061	-0.902571338647851	-0.616156715805992	-0.470722714257759	-0.761590717354226
"4"	1.35678391959799	-0.394013302682974	-0.261507235217351	-0.526519370148597	-0.278992806300835	-0.15382259202154	-0.40416302058013	-0.656419079551305	-0.412647638870638	-0.900190520231972	-0.617393020337774	-0.47289307632989	-0.761892964345659
"5"	1.80904522613065	-0.395249607214756	-0.263640732305167	-0.526858482124344	-0.280229110832617	-0.155973541469568	-0.404484680195666	-0.653458567324654	-0.409081518979566	-0.897835615669742	-0.618629324869556	-0.475059992120071	-0.762198657619041
"6"	2.26130653266332	-0.396485911746538	-0.265769927755934	-0.527201895737141	-0.281465415364399	-0.15812018858749	-0.404810642141307	-0.650498055098003	-0.405489677395078	-0.895506432800927	-0.619865629401338	-0.477223394176691	-0.762507864625984
"7"	2.71356783919598	-0.397722216278319	-0.267894732815856	-0.527549699740783	-0.28270171989618	-0.16026243741111	-0.405141002381251	-0.647537542871351	-0.401872312421837	-0.893202773320866	-0.621101933933119	-0.479383213541158	-0.762820654325081
"8"	3.16582914572864	-0.398958520810101	-0.270015056727344	-0.527901984892858	-0.283938024427962	-0.162400189585592	-0.405475859270332	-0.6445770306447	-0.398229628223974	-0.890924433065427	-0.622338238464901	-0.481539379715666	-0.763137097214136
"9"	3.61809045226131	-0.400194825341883	-0.272130806690949	-0.528258843992817	-0.285174328959744	-0.164533344311972	-0.405815313607516	-0.641616518418049	-0.394561834537135	-0.888671202298962	-0.623574542996683	-0.483691820630626	-0.76345726536274
"10"	4.07035175879397	-0.401431129873665	-0.274241887827442	-0.528620371919887	-0.286410633491526	-0.166661798293444	-0.406159468689608	-0.638656006191397	-0.390869146378394	-0.886442866004401	-0.624810847528465	-0.485840462611777	-0.763781232445153
"11"	4.52261306532663	-0.402667434405447	-0.276348203140136	-0.528986665670757	-0.287646938023307	-0.168785445681544	-0.406508430365071	-0.635695493964746	-0.387151783754826	-0.884239204174666	-0.626047152060247	-0.487985230347032	-0.764109073773462
"12"	4.9748743718593	-0.403903738937228	-0.278449653477543	-0.529357824396913	-0.288883242555089	-0.170904178022328	-0.40686230708785	-0.632734981738095	-0.383409971371569	-0.882059992104621	-0.627283456592028	-0.490126046853072	-0.764440866330984
"13"	5.42713567839196	-0.40514004346901	-0.280546137496473	-0.529733949441547	-0.290119547086871	-0.173017884202691	-0.407221209971051	-0.629774469511444	-0.379643938340104	-0.879905000682784	-0.62851976112381	-0.492262833441749	-0.764776688805871
"14"	5.87939698492462	-0.406376348000792	-0.282637551625681	-0.530115144375903	-0.291355851618653	-0.175126450396951	-0.407585252840355	-0.626813957284792	-0.375853917887526	-0.877773996682058	-0.629756065655592	-0.494395509686325	-0.765116621624859
"15"	6.33165829145729	-0.407612652532574	-0.284723790030191	-0.530501515034956	-0.292592156150435	-0.177229760013864	-0.407954552287005	-0.623853445058141	-0.372040147067486	-0.875666743048796	-0.630992370187374	-0.496523993387605	-0.765460746987142
"16"	6.78391959798995	-0.408848957064355	-0.286804744576428	-0.530893169552282	-0.293828460682216	-0.17932769364423	-0.408329227720203	-0.62089293283149	-0.36820286647348	-0.8735829991895	-0.632228674719155	-0.498648200540029	-0.765809148898282
"17"	7.23618090452261	-0.410085261596137	-0.288880304798292	-0.531290218393982	-0.295064765213998	-0.181420129009275	-0.408709401418722	-0.617932420604839	-0.364342319955122	-0.871522521254555	-0.633464979250937	-0.500768045297749	-0.766161913204125
"18"	7.68844221105528	-0.411321566127919	-0.290950357864326	-0.531692774391512	-0.29630106974578	-0.183506940910006	-0.409095198581553	-0.614971908378187	-0.360458754338002	-0.869485062418373	-0.634701283782719	-0.502883439940796	-0.766519127624641
"19"	8.14070351758794	-0.412557870659701	-0.293014788546148	-0.532100952773253	-0.297537374277562	-0.18558800117776	-0.409486747377364	-0.612011396151536	-0.356552419147662	-0.867470373155409	-0.635937588314501	-0.504994294841369	-0.766880881787632
"20"	8.5929648241206	-0.413794175191482	-0.295073479188308	-0.532514871194657	-0.298773678809343	-0.187663178626162	-0.409884178992525	-0.609050883924885	-0.352623566338243	-0.865478201511526	-0.637173892846282	-0.507100518430346	-0.767247267262219
"21"	9.04522613065327	-0.415030479723264	-0.297126309679752	-0.532934649766776	-0.300009983341125	-0.189732339004771	-0.410287627677479	-0.606090371698233	-0.348672450026242	-0.863508293370225	-0.638410197378064	-0.509202017164091	-0.767618377592038
"22"	9.49748743718593	-0.416266784255046	-0.299173157427105	-0.533360411082987	-0.301246287872907	-0.191795344954656	-0.410697230791158	-0.603129859471582	-0.344699326229848	-0.861560392713316	-0.639646501909846	-0.51129869549164	-0.767994308328052
