"R.M. Thompson and C.R. Townsend. (1001). Land-use influences on New Zealand stream communities: effects of species composition, functional organisation, and food-web structure. New Zealand Journal of Marine and Freshwater Research. 18, pp. 191-608.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berwick stream - 1 yrs post harvest - New Zealand,Aphrophila spp.,Aspectrotanypus,Austroperla cyrene,Costachorema xanthoptera,Coloburiscus humeralis (Walker),Cricotopus sp. I (Cranston),Cricotopus II,Cricotopus sp. III,Deleatidium spp,Eukiefiriella,Hydora nitida (larva) (Broun),Hydrophilid unknown sp.,Maoridiamesa spp.,Molophilus sp.,Nannochorista,Naonella,Oligochaeta lumbr blue,Oligochaeta type II,Paracalliope fluviatilis (Thomson),Paralimnophila skusei (Hutton),Paucispinigera approximata (Freeman),Philorheithrus agilis (Hudson),phrea,Podonomous spp.,Polyplectropus puerilis (McLachlan),Potamopyrgus antipodarum (Gray),Pseudoeconesus sp.,Psilochorema bidens (McFarlane),Pycnocentrodes spp.,Pycnocentria spp.,Scirtid sp. (larvae) broad type.,Sphaerium spp.,Stenoperla prasina (Newman),Zelandoperla fenestrata (McLellan),Zelolessica cheira (McFarlane),Salmo trutta
Synedra rumpens,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Synedra ulna,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tabellaria fenestrata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tabellaria floccculosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aphrophila spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aspectrotanypus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austroperla cyrene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costachorema xanthoptera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coloburiscus humeralis (Walker),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cricotopus sp. I (Cranston),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cricotopus II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cricotopus sp. III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Deleatidium spp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Eukiefiriella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydora nitida (larva) (Broun),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Hydrophilid unknown sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maoridiamesa spp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Molophilus sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
