resource,consumer
sp3,sp29
sp21,sp23
sp18,sp10
sp7,sp29
sp19,sp11
sp4,sp26
sp24,sp3
sp22,sp13
sp22,sp6
sp19,sp23
sp6,sp10
sp14,sp6
sp12,sp33
sp17,sp23
sp27,sp31
sp2,sp14
sp12,sp19
sp25,sp23
sp14,sp13
sp9,sp31
sp30,sp30
sp20,sp23
sp21,sp22
sp17,sp11
sp19,sp16
sp24,sp27
sp23,sp5
sp7,sp13
sp20,sp10
sp17,sp31
sp17,sp29
sp6,sp29
sp21,sp13
sp3,sp11
sp20,sp16
sp24,sp24
sp7,sp6
sp32,sp10
sp27,sp29
sp6,sp7
sp33,sp11
sp2,sp20
sp21,sp9
sp4,sp1
sp14,sp25
sp24,sp12
sp9,sp11
sp9,sp5
sp2,sp3
sp28,sp11
sp19,sp10
sp12,sp10
sp6,sp11
sp31,sp11
sp21,sp26
sp20,sp31
sp30,sp18
sp32,sp29
sp30,sp26
sp14,sp9
sp4,sp20
sp33,sp16
sp27,sp23
sp21,sp6
sp6,sp16
sp22,sp23
sp21,sp21
sp12,sp31
sp22,sp8
sp30,sp25
sp4,sp15
sp2,sp7
sp21,sp10
sp10,sp11
sp20,sp11
sp24,sp25
sp22,sp16
sp9,sp23
sp30,sp14
sp33,sp10
sp33,sp31
sp15,sp29
sp24,sp30
sp22,sp29
sp9,sp10
sp21,sp15
sp28,sp10
sp26,sp31
sp21,sp31
sp21,sp25
sp25,sp11
sp24,sp33
sp25,sp5
sp14,sp27
sp7,sp8
sp24,sp4
sp4,sp27
sp7,sp16
sp28,sp31
sp30,sp3
sp2,sp25
sp18,sp23
sp21,sp20
sp2,sp2
sp6,sp31
sp27,sp11
sp12,sp18
sp24,sp21
sp4,sp22
sp1,sp16
sp14,sp12
sp31,sp16
sp22,sp31
sp19,sp31
sp3,sp23
sp13,sp11
sp7,sp23
sp24,sp6
sp21,sp11
sp4,sp28
sp1,sp29
sp14,sp18
sp19,sp29
sp10,sp29
sp4,sp6
sp13,sp5
sp18,sp31
sp30,sp6
sp24,sp1
sp24,sp14
sp15,sp11
sp26,sp16
sp23,sp11
sp14,sp1
sp6,sp13
sp19,sp5
sp20,sp29
sp21,sp24
sp24,sp32
sp7,sp31
sp24,sp13
